PROJUNIT_NAME;PROJECT_NAME;VB_COMPANYCODE;VEHBLOCK_ID;PIECETYPE_NAME;LINE_COMPANYCODE;LINE_BASIN;LINE_COMPANY;JOURNEY_ID;TRIP_ID;STARTNODE_COMPANYCODE;STARTNODE_BASIN;STARTNODE_COMPANY;ENDNODE_COMPANYCODE;ENDNODE_BASIN;ENDNODE_COMPANY;START_TIME;END_TIME;RECHARGETYPE_NAME
Day Type 1;H_Depot;8702;928632;Revenue;87M;KTEL_H;Def;9396039;17974322;N38155;OSETH;Def;N15077;OSETH;Def;19:30:00;20:40:00;
Day Type 1;H_Depot;8702;928632;Revenue;87R;KTEL_H;Def;9395912;17973758;N15077;OSETH;Def;N38155;OSETH;Def;21:00:00;21:40:00;
Day Type 1;H_Depot;8702;928632;Revenue;87L;KTEL_H;Def;9395916;17973782;N38155;OSETH;Def;N15077;OSETH;Def;21:40:00;22:15:00;
Day Type 1;H_Depot;8702;928632;Revenue;87A;KTEL_H;Def;9395962;17973986;N15077;OSETH;Def;N38155;OSETH;Def;22:30:00;23:10:00;
Day Type 1;H_Depot;8702;928632;Revenue;87E;KTEL_H;Def;9395922;17973796;N38155;OSETH;Def;N15077;OSETH;Def;23:10:00;23:35:00;
Day Type 1;H_Depot;8702;928632;DeadHead;;;;;;N15077;OSETH;Def;H_Depot;KTEL_H;Def;23:35:00;23:36:00;
Day Type 1;H_Depot;8703;928633;DeadHead;;;;;;H_Depot;KTEL_H;Def;N15077;OSETH;Def;05:34:00;05:35:00;
Day Type 1;H_Depot;8703;928633;Revenue;87A;KTEL_H;Def;9396008;17974182;N15077;OSETH;Def;N38155;OSETH;Def;05:35:00;06:10:00;
Day Type 1;H_Depot;8703;928633;Revenue;87E;KTEL_H;Def;9395924;17973802;N38155;OSETH;Def;N15077;OSETH;Def;06:10:00;06:35:00;
Day Type 1;H_Depot;8703;928633;Revenue;87A;KTEL_H;Def;9396009;17974186;N15077;OSETH;Def;N38155;OSETH;Def;06:40:00;07:15:00;
Day Type 1;H_Depot;8703;928633;Revenue;87L;KTEL_H;Def;9396015;17974206;N38155;OSETH;Def;N15077;OSETH;Def;07:15:00;07:55:00;
Day Type 1;H_Depot;8703;928633;Revenue;87E;KTEL_H;Def;9395923;17973800;N15077;OSETH;Def;N38155;OSETH;Def;08:00:00;08:30:00;
Day Type 1;H_Depot;8703;928633;Revenue;87Z;KTEL_H;Def;9395948;17973922;N38155;OSETH;Def;N38155;OSETH;Def;08:30:00;09:55:00;
Day Type 1;H_Depot;8703;928633;Revenue;87E;KTEL_H;Def;9396007;17974176;N38155;OSETH;Def;N15077;OSETH;Def;09:55:00;10:25:00;
Day Type 1;H_Depot;8703;928633;Revenue;87F;KTEL_H;Def;9396005;17974172;N15077;OSETH;Def;N38155;OSETH;Def;10:55:00;11:25:00;
Day Type 1;H_Depot;8703;928633;Revenue;87A;KTEL_H;Def;9395945;17973904;N38155;OSETH;Def;N15077;OSETH;Def;11:25:00;12:05:00;
Day Type 1;H_Depot;8703;928633;Revenue;87A;KTEL_H;Def;9395939;17973874;N15077;OSETH;Def;N38155;OSETH;Def;12:10:00;12:50:00;
Day Type 1;H_Depot;8703;928633;Revenue;87F;KTEL_H;Def;9396004;17974164;N38155;OSETH;Def;N15077;OSETH;Def;12:50:00;13:20:00;
Day Type 1;H_Depot;8703;928633;Revenue;87E;KTEL_H;Def;9396031;17974292;N15077;OSETH;Def;N38155;OSETH;Def;14:00:00;14:30:00;
