SERVICELEVEL;CALENDAR;OPERATINGDAY;PIECETYPE;STARTINGDATE;ENDINGDATE;LINE;LINEBASIN;LINECOMPANY;PATTERN;DIRECTION;TRIPCODE;TRIPCOMPANYCODE;ACTIVITYNUMBER;LENGTH;VEHBLOCKID;DEPOT;VEHICLETYPE;VBLINE;VB_LINEBASIN;VB_LINECOMPANY;PIECEORDER;ARRIVALTIME;DEPARTURETIME;NODE;NODEBASIN;NODECOMPANY;PASSAGEORDER;BLOCK;LINE_EXCEL;EXCEL_NAME;DUTY;SOURCE_FILE;PATTERNCODE;correct_depot
F1;;ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-Χ;Revenue;2025-07-01;2025-08-31;02X;OASTH;Def;2702;0;836207977;836207977;836207977;13536.51;;;;;;;;14:25:00;14:25:00;N36013;OSETH;Def;2;7802;02X;line02X (2025 08).xlsx;7802_2;line02X (2025 08)_Timetable_ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ.csv;2702;Foinika
F1;;ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-Χ;Revenue;2025-07-01;2025-08-31;02X;OASTH;Def;2702;0;652139109;652139109;652139109;13536.51;;;;;;;;14:25:00;14:25:00;N1427;OSETH;Def;1;7801;02X;line02X (2025 08).xlsx;7801_2;line02X (2025 08)_Timetable_ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ.csv;2702;Foinika
F1;;ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-Χ;Revenue;2025-07-01;2025-08-31;02X;OASTH;Def;2702;0;652139109;652139109;652139109;13536.51;;;;;;;;14:45:00;14:45:00;N36013;OSETH;Def;2;7801;02X;line02X (2025 08).xlsx;7801_2;line02X (2025 08)_Timetable_ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ.csv;2702;Foinika
F1;;ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-Χ;Revenue;2025-07-01;2025-08-31;02X;OASTH;Def;2702;0;701721501;701721501;701721501;13536.51;;;;;;;;14:45:00;14:45:00;N1427;OSETH;Def;1;7803;02X;line02X (2025 08).xlsx;7803_1;line02X (2025 08)_Timetable_ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ.csv;2702;Foinika
F1;;ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-Χ;Revenue;2025-07-01;2025-08-31;02X;OASTH;Def;2702;0;701721501;701721501;701721501;13536.51;;;;;;;;15:05:00;15:05:00;N36013;OSETH;Def;2;7803;02X;line02X (2025 08).xlsx;7803_1;line02X (2025 08)_Timetable_ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ.csv;2702;Foinika
F1;;ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-Χ;Revenue;2025-07-01;2025-08-31;02X;OASTH;Def;2702;0;656063484;656063484;656063484;13536.51;;;;;;;;15:05:00;15:05:00;N1427;OSETH;Def;1;7802;02X;line02X (2025 08).xlsx;7802_2;line02X (2025 08)_Timetable_ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ.csv;2702;Foinika
F1;;ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-Χ;Revenue;2025-07-01;2025-08-31;02X;OASTH;Def;2702;0;656063484;656063484;656063484;13536.51;;;;;;;;15:25:00;15:25:00;N36013;OSETH;Def;2;7802;02X;line02X (2025 08).xlsx;7802_2;line02X (2025 08)_Timetable_ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ.csv;2702;Foinika
F1;;ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-Χ;Revenue;2025-07-01;2025-08-31;02X;OASTH;Def;2702;0;422794694;422794694;422794694;13536.51;;;;;;;;15:25:00;15:25:00;N1427;OSETH;Def;1;7801;02X;line02X (2025 08).xlsx;7801_2;line02X (2025 08)_Timetable_ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ.csv;2702;Foinika
F1;;ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-Χ;Revenue;2025-07-01;2025-08-31;02X;OASTH;Def;2702;0;422794694;422794694;422794694;13536.51;;;;;;;;15:45:00;15:45:00;N36013;OSETH;Def;2;7801;02X;line02X (2025 08).xlsx;7801_2;line02X (2025 08)_Timetable_ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ.csv;2702;Foinika
F1;;ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-Χ;Revenue;2025-07-01;2025-08-31;02X;OASTH;Def;2702;0;882728178;882728178;882728178;13536.51;;;;;;;;15:45:00;15:45:00;N1427;OSETH;Def;1;7803;02X;line02X (2025 08).xlsx;7803_1;line02X (2025 08)_Timetable_ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ.csv;2702;Foinika
