SERVICELEVEL;CALENDAR;OPERATINGDAY;PIECETYPE;STARTINGDATE;ENDINGDATE;LINE;LINEBASIN;LINECOMPANY;PATTERN;DIRECTION;TRIPCODE;TRIPCOMPANYCODE;ACTIVITYNUMBER;LENGTH;VEHBLOCKID;DEPOT;VEHICLETYPE;VBLINE;VB_LINEBASIN;VB_LINECOMPANY;PIECEORDER;ARRIVALTIME;DEPARTURETIME;NODE;NODEBASIN;NODECOMPANY;PASSAGEORDER;BLOCK;LINE_EXCEL;EXCEL_NAME;DUTY;SOURCE_FILE;PATTERNCODE_x;correct_depot_x;PATTERNCODE_y;correct_depot_y;PATTERNCODE;correct_depot
F1;;ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-ΚΥΡΙΑΚΗ-Χ;Revenue;2025-07-01;2025-08-31;36K;KTEL_S;Def;2751;1;401470975;401470975;401470975;17512.9;;;;;;;;09:00:00;09:00:00;N1407;OSETH;Def;1;3603;36Κ;line36 (2025).xlsx;3603_1;line36 (2025)_Timetable_ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-ΚΥΡΙΑΚΗ-Χ.csv;2751;S_Depot;2751;S_Depot;2751;S_Depot
F1;;ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-ΚΥΡΙΑΚΗ-Χ;Revenue;2025-07-01;2025-08-31;36K;KTEL_S;Def;2751;1;401470975;401470975;401470975;17512.9;;;;;;;;09:20:00;09:20:00;N36080;OSETH;Def;2;3603;36Κ;line36 (2025).xlsx;3603_1;line36 (2025)_Timetable_ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-ΚΥΡΙΑΚΗ-Χ.csv;2751;S_Depot;2751;S_Depot;2751;S_Depot
F1;;ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-ΚΥΡΙΑΚΗ-Χ;Revenue;2025-07-01;2025-08-31;36K;KTEL_S;Def;2751;1;401470975;401470975;401470975;17512.9;;;;;;;;09:40:00;09:40:00;N1407;OSETH;Def;3;3603;36Κ;line36 (2025).xlsx;3603_1;line36 (2025)_Timetable_ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-ΚΥΡΙΑΚΗ-Χ.csv;2751;S_Depot;2751;S_Depot;2751;S_Depot
F1;;ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-ΚΥΡΙΑΚΗ-Χ;Revenue;2025-07-01;2025-08-31;36;KTEL_S;Def;2743;1;864363440;864363440;864363440;26076.68;;;;;;;;09:20:00;09:20:00;N1407;OSETH;Def;1;3601;36;line36 (2025).xlsx;3601_1;line36 (2025)_Timetable_ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-ΚΥΡΙΑΚΗ-Χ.csv;2743;S_Depot;2743;S_Depot;2743;S_Depot
F1;;ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-ΚΥΡΙΑΚΗ-Χ;Revenue;2025-07-01;2025-08-31;36;KTEL_S;Def;2743;1;864363440;864363440;864363440;26076.68;;;;;;;;09:50:00;09:50:00;N15094;OSETH;Def;2;3601;36;line36 (2025).xlsx;3601_1;line36 (2025)_Timetable_ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-ΚΥΡΙΑΚΗ-Χ.csv;2743;S_Depot;2743;S_Depot;2743;S_Depot
F1;;ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-ΚΥΡΙΑΚΗ-Χ;Revenue;2025-07-01;2025-08-31;36;KTEL_S;Def;2743;1;864363440;864363440;864363440;26076.68;;;;;;;;10:20:00;10:20:00;N1407;OSETH;Def;3;3601;36;line36 (2025).xlsx;3601_1;line36 (2025)_Timetable_ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-ΚΥΡΙΑΚΗ-Χ.csv;2743;S_Depot;2743;S_Depot;2743;S_Depot
F1;;ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-ΚΥΡΙΑΚΗ-Χ;Revenue;2025-07-01;2025-08-31;36T;KTEL_S;Def;2754;1;882764698;882764698;882764698;10332.5;;;;;;;;09:35:00;09:35:00;N1407;OSETH;Def;1;3602;36Τ;line36 (2025).xlsx;3602_1;line36 (2025)_Timetable_ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-ΚΥΡΙΑΚΗ-Χ.csv;2754;S_Depot;2754;S_Depot;2754;S_Depot
F1;;ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-ΚΥΡΙΑΚΗ-Χ;Revenue;2025-07-01;2025-08-31;36T;KTEL_S;Def;2754;1;882764698;882764698;882764698;10332.5;;;;;;;;09:45:00;09:45:00;N1434;OSETH;Def;2;3602;36Τ;line36 (2025).xlsx;3602_1;line36 (2025)_Timetable_ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-ΚΥΡΙΑΚΗ-Χ.csv;2754;S_Depot;2754;S_Depot;2754;S_Depot
F1;;ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-ΚΥΡΙΑΚΗ-Χ;Revenue;2025-07-01;2025-08-31;36T;KTEL_S;Def;2754;1;882764698;882764698;882764698;10332.5;;;;;;;;09:55:00;09:55:00;N1407;OSETH;Def;3;3602;36Τ;line36 (2025).xlsx;3602_1;line36 (2025)_Timetable_ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-ΚΥΡΙΑΚΗ-Χ.csv;2754;S_Depot;2754;S_Depot;2754;S_Depot
F1;;ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-ΚΥΡΙΑΚΗ-Χ;Revenue;2025-07-01;2025-08-31;36N;KTEL_S;Def;2752;1;242993101;242993101;242993101;13051.94;;;;;;;;09:45:00;09:45:00;N1407;OSETH;Def;1;3603;36Ν;line36 (2025).xlsx;3603_1;line36 (2025)_Timetable_ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-ΚΥΡΙΑΚΗ-Χ.csv;2752;S_Depot;2752;S_Depot;2752;S_Depot
